query_behavior \ key_behavior,cart,pv,fav,buy
cart,0.583723,1.152020,1.380854,0.966323
pv,1.768950,0.161062,0.928848,0.604813
fav,0.689873,0.009083,0.882475,0.650164
buy,1.002250,2.081847,1.481458,0.019035
