query_behavior \ key_behavior,cart,pv,fav,buy
cart,0.566780,0.577544,0.718220,0.496698
pv,1.315597,0.373147,0.474323,0.304194
fav,0.913040,0.504665,1.262520,0.379797
buy,0.512502,1.043534,1.013342,0.349187
